dataset,category,epochs,i_auroc,p_auroc,pro,time_s
mvtec_ad,bottle,20,100.0,97.10948188814545,87.91752023823717,141.36450743675232
mvtec_ad,bottle,50,100.0,96.3714071401095,83.52141524960078,337.4032244682312
mvtec_ad,bottle,100,100.0,95.69719713539693,80.59154759827368,664.8099670410156
mvtec_ad,grid,20,76.3575605680869,76.55736153660666,47.350225214201956,163.1238214969635
