category,i_auroc,p_auroc,pro
bracket_black,66.02393617021276,33.47073266568638,18.15534709114342
bracket_brown,96.60633484162896,83.24087773617629,60.93494227242742
bracket_white,72.33333333333334,95.3147225962536,81.206915103687
connector,99.76190476190476,90.94246530862222,77.5851145260927
metal_plate,99.72914409534128,96.30552657828008,84.63631736586456
tubes,88.54166666666666,95.82008861123884,86.88815896724223
