category,i_auroc,p_auroc
grey_cloth,98.54721549636804,93.67821123103676
grid_cloth,85.6198347107438,89.09651360457536
pink_flower,74.70703125,99.29182394520151
yellow_cloth,93.57340720221606,89.13503266883677
